web-scraper-order,web-scraper-start-url,pages,pages-href,item,item-href,prix,Location,superficie,nb pieces,nb chambres,nb salles de bains,etat ,Age,etage,Ca1,Ca2,Ca3,Ca4,Ca5,Ca6,Ca7,Ca8,Ca9,Ca10
1644956712-752,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Apt 132 m² 6ème étage 2 chambres,https://www.mubawab.ma/fr/a/7353099/apt-132-m%C2%B2-6%C3%A8me-%C3%A9tage-2-chambres,1 550 000 DH,"Les princesses à
				
				Casablanca","132
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"6ème
					étage",Terrasse,Garage,Climatisation,Marbre,null,null,null,null,null,null
1644956791-783,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,"Appartement de 87m² en vente, Résidence T...",https://www.mubawab.ma/fr/pa/7183463/appartement-de-87m%C2%B2-en-vente-r%C3%A9sidence-titrit-ii,1 150 000 DH,"Benjdia à
				
				Casablanca","87
					m²",3 Pièces,2 Chambres,1 Salle de bain,"3ème
					étage",null,null,Cuisine équipée,Four,null,null,null,null,null,null,null,null
1644956690-743,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,DV. 442: Superbe Villa à Californie:,https://www.mubawab.ma/fr/a/6345950/dv-442-superbe-villa-%C3%A0-californie-,17 000 000 DH,"Californie à
				
				Casablanca","780
					m²",10 Pièces,7 Chambres,8 Salles de bains,Bon état,10-20 ans,null,Terrasse,Garage,Ascenseur,Piscine,Jardin,Chambre rangement,Salon Marocain,Salon européen,Double vitrage,Porte blindée
1644956676-737,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,"Bel appartement à vendre, 155 m2, Bachkou",https://www.mubawab.ma/fr/a/7353042/bel-appartement-%C3%A0-vendre-155-m2-bachkou,2 350 000 DH,"Quartier Bachkou à
				
				Casablanca","155
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,"3ème
					étage",null,Garage,Ascenseur,null,null,null,null,null,null,null,null
1644956700-747,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Belle villa de caractère de 450 m² sur 3...,https://www.mubawab.ma/fr/a/6963235/belle-villa-de-caract%C3%A8re-de-450-m%C2%B2-sur-3-niveaux,5 400 000 DH,"Sidi Maarouf à
				
				Casablanca","450
					m²",6 Pièces,4 Chambres,3 Salles de bains,Bon état,5-10 ans,null,Terrasse,Garage,Jardin,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Antenne parabolique,Marbre,null
1644956581-702,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Bel appartement à Casablanca,https://www.mubawab.ma/fr/a/7339363/bel-appartement-%C3%A0-casablanca,1 400 000 DH,"Val Fleury à
				
				Casablanca","111
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,"7ème
					étage",Ascenseur,Salon Marocain,Climatisation,Cheminée,Sécurité,Cuisine équipée,null,null,null,null
1644956726-758,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Appartement en Vente à Al azhar Bernoussi...,https://www.mubawab.ma/fr/a/7353355/appartement-en-vente-%C3%A0-al-azhar-bernoussi-casa,580 000 DH,"Bernoussi à
				
				Casablanca","96
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"4ème
					étage",Garage,Marbre,null,null,null,null,null,null,null,null
1644956688-742,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Très bel appartement proche de toute comm...,https://www.mubawab.ma/fr/a/7353139/tr%C3%A8s-bel-appartement-proche-de-toute-commodit%C3%A9,2 450 000 DH,"Mers Sultan à
				
				Casablanca","164
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Chauffage central,Four,null
1644956569-697,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,"Appartement à vendre, bourgogne",https://www.mubawab.ma/fr/a/6973029/appartement-%C3%A0-vendre-bourgogne,1 350 000 DH,"Bourgogne Ouest à
				
				Casablanca","92
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,"1er
					étage",null,Terrasse,Garage,Ascenseur,Concierge,null,null,null,null,null,null
1644956796-785,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Unique au triangle d'or,https://www.mubawab.ma/fr/a/7339211/unique-au-triangle-d-or,5 150 000 DH,"Triangle d'Or à
				
				Casablanca","256
					m²",4 Pièces,3 Chambres,2 Salles de bains,null,null,null,Garage,Ascenseur,Cheminée,null,null,null,null,null,null,null
1644956772-775,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement de 66m² avec 61m² de terrasse...,https://www.mubawab.ma/fr/pa/7183472/appartement-de-66m%C2%B2-avec-61m%C2%B2-de-terrasse-en-vente-r%C3%A9sidence-titrit-ii,1 120 000 DH,"Benjdia à
				
				Casablanca","85
					m²",3 Pièces,2 Chambres,1 Salle de bain,"1er
					étage",null,null,Terrasse,Cuisine équipée,Four,null,null,null,null,null,null,null
1644956774-776,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement de 74m² avec 65m² de terrasse...,https://www.mubawab.ma/fr/pa/7183466/appartement-de-74m%C2%B2-avec-65m%C2%B2-de-terrasse-en-vente-r%C3%A9sidence-titrit-ii,1 215 000 DH,"Benjdia à
				
				Casablanca","94
					m²",3 Pièces,2 Chambres,1 Salle de bain,"1er
					étage",null,null,Terrasse,Cuisine équipée,Four,null,null,null,null,null,null,null
1644956579-701,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,App a vendre,https://www.mubawab.ma/fr/a/7352434/app-a-vendre,null,"Hay Chrifa à
				
				Casablanca","113
					m²",1 Pièce,3 Chambres,1 Salle de bain,Bon état,"2ème
					étage",null,null,null,null,null,null,null,null,null,null,null
1644956719-755,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,"Studio de 63m² en vente, Marina Casablanc...",https://www.mubawab.ma/fr/pa/7278407/studio-de-63m%C2%B2-en-vente-marina-casablanca,null,"Casablanca Marina à
				
				Casablanca","63
					m²",2 Pièces,1 Chambre,1 Salle de bain,null,null,null,null,null,null,null,Voir le catalogue en PDF,null,null,null,null,null
1644956656-729,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Appartement en vente à Bernoussi. 6 pièce...,https://www.mubawab.ma/fr/a/7352810/appartement-en-vente-%C3%A0-bernoussi-6-pi%C3%A8ces-tv-,null,"Bernoussi à
				
				Casablanca","90
					m²",6 Pièces,3 Chambres,1 Salle de bain,Bon état,5-10 ans,null,Terrasse,Salon Marocain,Marbre,Cuisine équipée,Four,Machine à laver,Réfrigérateur,TV,null,null
1644956564-695,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,"Apartement de 83m² en vente, Résidence El...",https://www.mubawab.ma/fr/pa/7276873/apartement-de-83m%C2%B2-en-vente-r%C3%A9sidence-el-yassamine,795 000 DH,"Bernoussi à
				
				Casablanca","83
					m²",3 Pièces,2 Chambres,1 Salle de bain,null,null,null,Piscine,Climatisation,Sécurité,Cuisine équipée,Voir la vidéo,null,null,null,null,null
1644956784-780,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement de 56m² avec 6m² de terrasse...,https://www.mubawab.ma/fr/pa/7183468/appartement-de-56m%C2%B2-avec-6m%C2%B2-de-terrasse-en-vente-r%C3%A9sidence-titrit-ii,895 000 DH,"Benjdia à
				
				Casablanca","59
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,"1er
					étage",null,Terrasse,Cuisine équipée,Four,null,null,null,null,null,null,null
1644956717-754,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Vente Appartement 163m2 Maarif Extension...,https://www.mubawab.ma/fr/a/7353297/vente-appartement-163m2-maarif-extension-casablanca,3 000 000 DH,"Maârif Extension à
				
				Casablanca","163
					m²",5 Pièces,3 Chambres,2 Salles de bains,null,null,null,Jardin,Sécurité,Four,null,null,null,null,null,null,null
1644956621-716,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Appartement premium a vendre Racine,https://www.mubawab.ma/fr/a/7053475/appartement-premium-a-vendre-racine,3 400 000 DH,"Racine à
				
				Casablanca","205
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,5-10 ans,"2ème
					étage",Garage,Ascenseur,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Double vitrage,Sécurité,Four
1644956789-782,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,"Appartement de 73m² en vente, Résidence T...",https://www.mubawab.ma/fr/pa/7183464/appartement-de-73m%C2%B2-en-vente-r%C3%A9sidence-titrit-ii,995 000 DH,"Benjdia à
				
				Casablanca","73
					m²",3 Pièces,2 Chambres,1 Salle de bain,"3ème
					étage",null,null,Cuisine équipée,Four,null,null,null,null,null,null,null,null
1644956562-694,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Appartement à vendre à Casablanca Finance...,https://www.mubawab.ma/fr/a/7339989/appartement-%C3%A0-vendre-%C3%A0-casablanca-finance-city-2-grandes-pi%C3%A8ces-service-de-concierge-chemin%C3%A9e,1 468 000 DH,"Casablanca Finance City à
				
				Casablanca","99
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,null,null,Terrasse,Garage,Ascenseur,Concierge,Climatisation,Double vitrage,Antenne parabolique,Cheminée,Four,null
1644956598-709,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Appartement premium à vendre Racine,https://www.mubawab.ma/fr/a/6987023/appartement-premium-%C3%A0-vendre-racine,4 500 000 DH,"Racine Extension à
				
				Casablanca","297
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,5-10 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Double vitrage,Marbre
1644956586-704,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Résidence M Ferme Bretonne: appartement 1...,https://www.mubawab.ma/fr/a/7306013/r%C3%A9sidence-m-ferme-bretonne-appartement-124m%C2%B2,2 400 000 DH,"Ferme Bretonne (Hay Arraha) à
				
				Casablanca","124
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,"4ème
					étage",null,Terrasse,Garage,Ascenseur,Piscine,Concierge,Climatisation,Double vitrage,Antenne parabolique,Cuisine équipée,null
1644956743-763,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement à vendre à Tadart,https://www.mubawab.ma/fr/a/6843806/appartement-%C3%A0-vendre-%C3%A0-tadart,1 395 000 DH,"Californie à
				
				Casablanca","111
					m²",7 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"5ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Chauffage central,Porte blindée,null
1644956757-769,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement à vendre à Beauséjour Casabla...,https://www.mubawab.ma/fr/a/7353629/appartement-%C3%A0-vendre-%C3%A0-beaus%C3%A9jour-casablanca-salon-3-chambres-sans-vis-%C3%A0-vis,1 950 000 DH,"Beauséjour à
				
				Casablanca","160
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,null,Garage,Ascenseur,Concierge,null,null,null,null,null,null,null
1644956661-731,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Splendide appartement moderne avec 2 terr...,https://www.mubawab.ma/fr/a/7268483/splendide-appartement-moderne-avec-2-terrasses,1 480 000 DH,"Anfa à
				
				Casablanca","84
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon européen,Climatisation,Chauffage central,Double vitrage,Marbre,Réfrigérateur
1644956776-777,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement de 75m² avec 42m² de terrasse...,https://www.mubawab.ma/fr/pa/7183471/appartement-de-75m%C2%B2-avec-42m%C2%B2-de-terrasse-en-vente-r%C3%A9sidence-titrit-ii,1 170 000 DH,"Benjdia à
				
				Casablanca","90
					m²",3 Pièces,2 Chambres,1 Salle de bain,"1er
					étage",null,null,Terrasse,Cuisine équipée,Four,null,null,null,null,null,null,null
1644956681-739,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Taddart Californie – Joli appartement ens...,https://www.mubawab.ma/fr/a/7256426/taddart-californie-%E2%80%93-joli-appartement-ensoleill%C3%A9,1 630 000 DH,"Californie à
				
				Casablanca","117
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,"1er
					étage",null,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Marbre,Micro-ondes
1644956619-715,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,"Appartement a vendre sur Racine, terrasse",https://www.mubawab.ma/fr/a/7149824/appartement-a-vendre-sur-racine-terrasse,2 800 000 DH,"Racine à
				
				Casablanca","161
					m²",3 Pièces,2 Chambres,3 Salles de bains,Nouveau,5-10 ans,"7ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Marbre,Micro-ondes
1644956576-700,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,"Appartement 140 m² à vendre, Hopitaux Pas...",https://www.mubawab.ma/fr/a/7285927/appartement-140-m%C2%B2-%C3%A0-vendre-hopitaux-pasteur-casa,2 100 000 DH,"Les Hôpitaux à
				
				Casablanca","140
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,null,null,null,null,null,null,null,null,null,null,null,null
1644956685-741,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Bel appartement à vendre usage habitation...,https://www.mubawab.ma/fr/a/7353106/bel-appartement-%C3%A0-vendre-usage-habitation-ou-professionnel,1 100 000 DH,"Mers Sultan à
				
				Casablanca","130
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,30-50 ans,"3ème
					étage",Ascenseur,Concierge,Salon Marocain,Salon européen,null,null,null,null,null,null
1644956798-786,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,LUXUEUX Appartement a vendre sur Racine,https://www.mubawab.ma/fr/a/7179516/luxueux-appartement-a-vendre-sur-racine,3 500 000 DH,"Racine à
				
				Casablanca","183
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,"4ème
					étage",null,Garage,Ascenseur,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Chauffage central,Cheminée,Four
1644956807-790,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Bonne affaire vente appart à les Princess...,https://www.mubawab.ma/fr/a/6965790/bonne-affaire-vente-appart-%C3%A0-les-princesses,2 045 000 DH,"Les princesses à
				
				Casablanca","147
					m²",9 Pièces,4 Chambres,3 Salles de bains,Bon état,5-10 ans,"3ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Chambre rangement,Cheminée,Sécurité,Porte blindée,null,null
1644956810-791,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,55,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:55,Appartement à vendre à Bourgone Marjane M...,https://www.mubawab.ma/fr/a/6957836/appartement-%C3%A0-vendre-%C3%A0-bourgone-marjane-market,1 995 000 DH,"Bourgogne Ouest à
				
				Casablanca","126
					m²",7 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Salon Marocain,Salon européen,Climatisation,Sécurité,null
1644956588-705,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Résidence M Ferme Bretonne: Appartement 1...,https://www.mubawab.ma/fr/a/7306192/r%C3%A9sidence-m-ferme-bretonne-appartement-143m%C2%B2,2 750 000 DH,"Ferme Bretonne (Hay Arraha) à
				
				Casablanca","143
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,"2ème
					étage",null,Terrasse,Garage,Ascenseur,Piscine,Concierge,Chambre rangement,Climatisation,Double vitrage,Marbre,null
1644956605-712,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,57,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:57,Appartement a vendre Ysmine Signature,https://www.mubawab.ma/fr/a/7256617/appartement-a-vendre-ysmine-signature,2 900 000 DH,"Maârif Extension à
				
				Casablanca","135
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"1er
					étage",Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Cuisine équipée,null
1644956683-740,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Villa de luxe a coté l'école américaine,https://www.mubawab.ma/fr/a/6852494/villa-de-luxe-a-cot%C3%A9-l-%C3%A9cole-am%C3%A9ricaine,10 500 000 DH,"Californie à
				
				Casablanca","400
					m²",7 Pièces,4 Chambres,5 Salles de bains,Nouveau,1-5 ans,null,Terrasse,Piscine,Concierge,Chambre rangement,Salon européen,Climatisation,Chauffage central,Double vitrage,Sécurité,Four
1644956698-746,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:54,56,https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre:p:56,Coueur de Racine LUXUEUX PENTHOUSE sans v...,https://www.mubawab.ma/fr/a/6831296/coueur-de-racine-luxueux-penthouse-sans-vis-a-vis,null,"Racine à
				
				Casablanca","346
					m²",6 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,"7ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Vue sur mer,Chambre rangement,Salon Marocain,Double vitrage,Marbre
